generations,pop_size,mutation_rate,elitism_count,tournament_size,avg_fitness
20,20,0.1,2,3,-4.8
30,30,0.1,2,3,-5.266666666666667
30,20,0.3,2,3,-5.266666666666667
30,30,0.3,2,3,-5.3999999999999995
20,20,0.1,1,3,-5.6000000000000005
20,30,0.3,1,3,-5.666666666666667
20,30,0.3,2,5,-5.666666666666667
20,20,0.3,2,3,-5.666666666666667
20,20,0.3,2,5,-5.8
20,30,0.1,2,5,-5.933333333333333
20,20,0.3,1,5,-5.933333333333334
20,30,0.1,1,5,-6.0
30,20,0.1,1,5,-6.133333333333333
20,30,0.1,1,3,-6.133333333333334
20,30,0.1,2,3,-6.2
30,30,0.1,2,5,-6.266666666666667
30,30,0.1,1,5,-6.333333333333333
20,20,0.1,1,5,-6.333333333333333
20,20,0.1,2,5,-6.333333333333333
20,30,0.3,2,3,-6.333333333333333
30,20,0.1,2,5,-6.466666666666666
20,30,0.3,1,5,-6.6000000000000005
30,20,0.3,1,5,-6.6000000000000005
30,30,0.3,1,3,-6.733333333333333
30,20,0.1,1,3,-6.8
30,30,0.3,2,5,-6.866666666666667
30,30,0.1,1,3,-6.933333333333333
30,20,0.1,2,3,-7.266666666666667
30,20,0.3,2,5,-7.599999999999999
20,20,0.3,1,3,-7.666666666666667
30,30,0.3,1,5,-7.933333333333334
30,20,0.3,1,3,-8.333333333333334
